0	0	128
35203	0	100
70407	0	647
1	0	256
2	0	263
3	0	546
35207	0	704
5	0	467
6	0	542
7	0	1475
8	0	994
9	0	130
35210	0	707
10	0	130
35209	0	132
12	0	961
140801	0	73
13	0	971
14	0	798
35213	0	1016
15	0	784
17	0	140
105110	0	1216
18	0	672
21	0	307
20	0	981
23	0	2007
22	0	216
25	0	803
24	0	819
35224	0	1260
70426	0	1626
31	0	165
30	0	469
70436	0	994
34	0	815
70437	0	901
35	0	26
33	0	290
35236	0	1784
39	0	788
105122	0	1789
37	0	743
42	0	810
43	0	798
40	0	811
41	0	482
35245	0	742
35244	0	1941
44	0	758
45	0	195
105142	0	2009
105143	0	2009
55	0	530
35252	0	2047
105138	0	2009
53	0	697
52	0	178
59	0	960
58	0	775
35257	0	1077
35259	0	678
70457	0	982
63	0	984
62	0	775
61	0	571
105144	0	2009
60	0	195
68	0	329
35271	0	1262
70467	0	556
69	0	83
70	0	646
71	0	131
65	0	976
70471	0	458
66	0	13
67	0	640
76	0	846
79	0	808
70479	0	531
85	0	791
87	0	994
81	0	813
80	0	536
82	0	754
93	0	780
70490	0	1759
92	0	775
95	0	530
94	0	163
89	0	13
88	0	266
91	0	442
90	0	469
100	0	901
101	0	794
99	0	839
96	0	976
97	0	137
110	0	542
111	0	256
35308	0	694
105193	0	2007
70507	0	1205
106	0	772
107	0	543
104	0	792
119	0	754
117	0	266
116	0	469
35319	0	1550
115	0	507
114	0	386
35313	0	852
127	0	537
125	0	13
124	0	784
123	0	798
120	0	884
70526	0	2039
35323	0	234
139	0	984
70540	0	1667
138	0	137
141	0	462
70539	0	1608
140	0	963
143	0	462
142	0	543
133	0	130
70530	0	2039
135	0	130
134	0	363
35077	0	1270
152	0	1287
153	0	462
155	0	469
156	0	469
35103	0	512
157	0	775
158	0	88
159	0	876
35100	0	1067
144	0	530
145	0	96
35089	0	1732
146	0	1850
70548	0	1077
147	0	1850
148	0	469
151	0	960
35113	0	710
169	0	82
168	0	386
175	0	1298
70569	0	1131
174	0	552
70571	0	1779
105000	0	1485
70570	0	1679
172	0	484
35119	0	1722
163	0	420
162	0	2043
161	0	811
175912	0	2025
167	0	900
35109	0	1915
165	0	984
35110	0	922
164	0	1604
187	0	984
184	0	530
185	0	1253
70591	0	126
70584	0	1922
190	0	960
70585	0	1922
35132	0	888
188	0	984
70586	0	124
35135	0	1879
70587	0	1922
189	0	960
178	0	387
70581	0	1922
70582	0	1935
176	0	629
105012	0	2015
70583	0	121
177	0	629
182	0	763
183	0	819
105010	0	2015
180	0	469
105009	0	2015
181	0	800
205	0	291
204	0	530
207	0	265
206	0	174
203	0	462
202	0	959
197	0	772
196	0	962
199	0	542
198	0	1780
70592	0	1922
35138	0	1016
141004	0	311
192	0	128
194	0	965
220	0	2044
221	0	704
222	0	1010
217	0	775
218	0	197
212	0	476
70610	0	1790
213	0	530
215	0	978
208	0	432
209	0	462
35154	0	957
210	0	475
211	0	913
239	0	960
236	0	13
35177	0	1612
233	0	469
231	0	848
230	0	745
229	0	294
227	0	469
224	0	1997
35171	0	654
253	0	965
250	0	280
251	0	785
248	0	543
35195	0	673
70655	0	1671
249	0	785
246	0	2013
247	0	600
244	0	675
245	0	646
70643	0	1709
241	0	280
70165	0	1810
275	0	641
274	0	195
34962	0	568
70161	0	1812
70160	0	918
34965	0	1732
277	0	130
276	0	750
34967	0	260
283	0	13
282	0	13
70172	0	1814
281	0	704
287	0	1253
286	0	130
285	0	786
284	0	794
258	0	961
70149	0	1808
259	0	543
256	0	130
34946	0	1935
70151	0	1736
263	0	542
260	0	440
266	0	312
267	0	174
70158	0	1815
265	0	442
34959	0	369
70155	0	1812
269	0	623
305	0	507
304	0	1273
307	0	640
309	0	336
311	0	1623
34997	0	233
313	0	466
319	0	858
291	0	280
292	0	58
293	0	537
294	0	785
296	0	543
297	0	858
298	0	720
300	0	96
301	0	960
302	0	8
303	0	467
341	0	259
340	0	908
35025	0	1551
337	0	192
347	0	851
105438	0	1496
344	0	190
326	0	507
327	0	469
35014	0	1935
325	0	758
322	0	351
323	0	462
35008	0	1075
320	0	722
335	0	130
332	0	711
35022	0	1105
333	0	784
330	0	813
331	0	800
329	0	998
35018	0	1791
70259	0	1933
373	0	685
372	0	269
70256	0	75
374	0	75
175871	0	1945
70261	0	970
371	0	775
370	0	775
381	0	213
35070	0	1710
70266	0	1988
382	0	284
377	0	663
376	0	458
35067	0	1637
379	0	1308
70269	0	1594
378	0	371
356	0	240
357	0	1630
358	0	74
359	0	1805
352	0	1724
35042	0	886
354	0	730
355	0	811
365	0	800
105448	0	1942
35053	0	1580
367	0	808
360	0	997
361	0	1927
362	0	197
363	0	984
410	0	856
408	0	552
70303	0	392
409	0	265
175632	0	602
415	0	813
412	0	859
70299	0	1927
34846	0	544
402	0	195
34833	0	612
403	0	469
401	0	498
407	0	173
404	0	329
395	0	671
394	0	727
397	0	685
34831	0	1963
387	0	469
34816	0	1288
386	0	811
384	0	964
391	0	128
105219	0	193
34822	0	1551
440	0	637
34875	0	532
443	0	543
70333	0	1776
444	0	577
70330	0	1785
34877	0	887
447	0	128
432	0	607
434	0	420
435	0	984
436	0	130
70323	0	1842
437	0	468
438	0	450
439	0	444
424	0	469
34859	0	1975
426	0	792
429	0	766
428	0	984
431	0	964
417	0	736
70310	0	1496
416	0	815
418	0	56
421	0	1850
34854	0	532
34855	0	288
422	0	130
34909	0	729
476	0	984
477	0	775
475	0	174
473	0	787
471	0	178
469	0	322
466	0	601
34897	0	1786
141279	0	939
467	0	775
34899	0	883
465	0	730
105300	0	1893
459	0	747
458	0	584
70348	0	1948
70351	0	1879
457	0	1011
70337	0	1291
455	0	542
454	0	190
451	0	537
450	0	570
34882	0	1263
509	0	789
510	0	789
141299	0	784
511	0	737
505	0	313
34938	0	1778
506	0	780
507	0	961
501	0	789
70387	0	1116
502	0	621
503	0	976
496	0	197
34931	0	884
497	0	984
498	0	462
499	0	815
493	0	281
34926	0	616
492	0	804
495	0	462
489	0	2027
70382	0	2016
491	0	137
485	0	543
484	0	6
486	0	237
480	0	542
141295	0	196
483	0	462
482	0	758
69921	0	231
546	0	960
547	0	140
544	0	543
35757	0	1941
69929	0	14
556	0	469
140321	0	1013
557	0	984
554	0	996
555	0	552
552	0	758
35754	0	863
567	0	1915
35765	0	1595
35767	0	1616
563	0	900
562	0	436
35761	0	504
35763	0	1616
69942	0	1801
575	0	999
